run_rank,interpretation_candidate_id,interpretation_source,selection_score_global,semantic_score_global,ari,embedding_name,algorithm,k,cluster_id,cluster_size,cluster_share,dominant_target,dominant_target_share,target_entropy_normalized,wordcloud_path
1,1,geometry,0.7047619047619048,,0.13273830122183142,word2vec_proxy_glove,spectral,10,1,10,0.0005561116672227783,comp.os.ms-windows.misc,1.0,0.0,artifacts_full/plots/wordclouds/wordcloud_01_candidate01_geometry_word2vec_proxy_glove_spectral_k10_cluster1.png
1,1,geometry,0.7047619047619048,,0.13273830122183142,word2vec_proxy_glove,spectral,10,5,46,0.0025581136692247805,rec.sport.hockey,0.9565217391304348,0.05969989851685734,artifacts_full/plots/wordclouds/wordcloud_01_candidate01_geometry_word2vec_proxy_glove_spectral_k10_cluster5.png
1,1,geometry,0.7047619047619048,,0.13273830122183142,word2vec_proxy_glove,spectral,10,7,23,0.0012790568346123903,misc.forsale,0.9565217391304348,0.05969989851685734,artifacts_full/plots/wordclouds/wordcloud_01_candidate01_geometry_word2vec_proxy_glove_spectral_k10_cluster7.png
2,2,geometry,0.7047619047619046,,0.23547912092971737,tfidf_var_n_components_50,spectral,30,6,492,0.027363737486095663,rec.motorcycles,0.9369918699186992,0.11625296972303972,artifacts_full/plots/wordclouds/wordcloud_02_candidate02_geometry_tfidf_var_n_components_50_spectral_k30_cluster6.png
2,2,geometry,0.7047619047619046,,0.23547912092971737,tfidf_var_n_components_50,spectral,30,7,411,0.0228587319243604,talk.politics.mideast,0.9221411192214112,0.13559631420401205,artifacts_full/plots/wordclouds/wordcloud_02_candidate02_geometry_tfidf_var_n_components_50_spectral_k30_cluster7.png
2,2,geometry,0.7047619047619046,,0.23547912092971737,tfidf_var_n_components_50,spectral,30,13,286,0.015906562847608455,talk.politics.mideast,0.9055944055944056,0.16621507705974947,artifacts_full/plots/wordclouds/wordcloud_02_candidate02_geometry_tfidf_var_n_components_50_spectral_k30_cluster13.png
3,3,geometry,0.6666666666666666,,0.23324673930730513,tfidf_var_min_df_20,spectral,30,10,479,0.026642193670393235,rec.motorcycles,0.9331941544885177,0.12494048368439455,artifacts_full/plots/wordclouds/wordcloud_03_candidate03_geometry_tfidf_var_min_df_20_spectral_k30_cluster10.png
3,3,geometry,0.6666666666666666,,0.23324673930730513,tfidf_var_min_df_20,spectral,30,29,394,0.021914455753935146,talk.politics.mideast,0.9238578680203046,0.13497896717308663,artifacts_full/plots/wordclouds/wordcloud_03_candidate03_geometry_tfidf_var_min_df_20_spectral_k30_cluster29.png
3,3,geometry,0.6666666666666666,,0.23324673930730513,tfidf_var_min_df_20,spectral,30,2,580,0.03225985872406697,sci.crypt,0.8689655172413793,0.23230534821891258,artifacts_full/plots/wordclouds/wordcloud_03_candidate03_geometry_tfidf_var_min_df_20_spectral_k30_cluster2.png
4,4,semantic,0.3904761904761904,0.9428571428571428,0.30077128387392915,sbert,hierarchical,30,16,206,0.011453352607583676,talk.politics.mideast,0.9854368932038835,0.030726035386714985,artifacts_full/plots/wordclouds/wordcloud_04_candidate04_semantic_sbert_hierarchical_k30_cluster16.png
4,4,semantic,0.3904761904761904,0.9428571428571428,0.30077128387392915,sbert,hierarchical,30,25,615,0.034193261425553206,rec.sport.baseball,0.9723577235772358,0.05141474008918736,artifacts_full/plots/wordclouds/wordcloud_04_candidate04_semantic_sbert_hierarchical_k30_cluster25.png
4,4,semantic,0.3904761904761904,0.9428571428571428,0.30077128387392915,sbert,hierarchical,30,17,656,0.03647281218725675,sci.med,0.9557926829268293,0.09178567423781823,artifacts_full/plots/wordclouds/wordcloud_04_candidate04_semantic_sbert_hierarchical_k30_cluster17.png
5,5,semantic,0.3047619047619048,0.9714285714285714,0.3884742871312199,sbert,kmeans,20,9,844,0.04692538641165351,rec.sport.hockey,0.9466824644549763,0.0746033213674398,artifacts_full/plots/wordclouds/wordcloud_05_candidate05_semantic_sbert_kmeans_k20_cluster9.png
5,5,semantic,0.3047619047619048,0.9714285714285714,0.3884742871312199,sbert,kmeans,20,6,792,0.04403424886022462,rec.sport.baseball,0.9431818181818182,0.08866279450286578,artifacts_full/plots/wordclouds/wordcloud_05_candidate05_semantic_sbert_kmeans_k20_cluster6.png
5,5,semantic,0.3047619047619048,0.9714285714285714,0.3884742871312199,sbert,kmeans,20,13,642,0.035694429000333594,sci.crypt,0.9034267912772586,0.1764669987403335,artifacts_full/plots/wordclouds/wordcloud_05_candidate05_semantic_sbert_kmeans_k20_cluster13.png
6,6,semantic,0.15238095238095237,1.0,0.43065127407628556,sbert,spectral,25,3,788,0.043811853663960856,rec.sport.baseball,0.9479695431472082,0.104228540515343,artifacts_full/plots/wordclouds/wordcloud_06_candidate06_semantic_sbert_spectral_k25_cluster3.png
6,6,semantic,0.15238095238095237,1.0,0.43065127407628556,sbert,spectral,25,11,823,0.04575781163126876,rec.sport.hockey,0.9125151883353585,0.15293247875720503,artifacts_full/plots/wordclouds/wordcloud_06_candidate06_semantic_sbert_spectral_k25_cluster11.png
6,6,semantic,0.15238095238095237,1.0,0.43065127407628556,sbert,spectral,25,5,896,0.0498165239630824,sci.med,0.8772321428571429,0.2224001054836638,artifacts_full/plots/wordclouds/wordcloud_06_candidate06_semantic_sbert_spectral_k25_cluster5.png
